ID;Site;Latitude ;Longitude ;Exact location ;Literary source;Site type;Min_date;Max_date;Bibliography - title nr. 1 ;DOI;Bibliography - title nr. 2 ;DOI;Notes
74;Agios Ioannis (Kainourgio);35,045312;24,811745;Y;;settlement\church;401;1205;Tsougarakis, Dimitris. 1988. Byzantine Crete: from the 5th century to the Venetian conquest. Athens: St. D. Basilopoulos.;;;;also called Loutro, Vaptistiria, bath --> baptistery, coordinates: village center
75;Agios Ioannis (Sfakia);35,232318;24,019313;Y;;church;1001;1100;Tsougarakis, Dimitris. 1988. Byzantine Crete: from the 5th century to the Venetian conquest. Athens: St. D. Basilopoulos.;;;;church of St. Paul, on the Sea shore, 1st half of 11th c.
76;Agios Konstantinos;35,297035;24,366923;Y;Y;church;401;700;Tsougarakis, Dimitris. 1988. Byzantine Crete: from the 5th century to the Venetian conquest. Athens: St. D. Basilopoulos.;;;;
77;Agios Konstantinos: Charakia ;35,177928;25,508088;Y;;settlement;201;700;Watrous, Livingston Vance. 1982. Lasithi, a history of settlement on a highland plain in Crete. Princeton, N.J.: American School of Classical Studies at Athens. http://catalog.hathitrust.org/api/volumes/oclc/6941716.html.;;;;
78;Agios Konstantinos: Kroustaleneia monastery;35,179007;25,502702;Y;;settlement;201;700;Watrous, Livingston Vance. 1982. Lasithi, a history of settlement on a highland plain in Crete. Princeton, N.J.: American School of Classical Studies at Athens. http://catalog.hathitrust.org/api/volumes/oclc/6941716.html.;;;;
79;Agios Myron (Raukos);35,232283;25,0285;Y;;city\church;201;1205;Gerola, Giuseppe. 1908. Monumenti Veneti nell’ isola di Creta vol. II, Venice;;Tsougarakis, Dimitris. 1988. Byzantine Crete: from the 5th century to the Venetian conquest. Athens: St. D. Basilopoulos.;;
80;Agios Nikolaos - Agioi Pantes ;35,19927;25,732064;Y;;hamlet\church\cistern\water construction ;201;1205;http://imperium.ahlfeldt.se/places/44588.html;;;;official site: ΥΠΠΟ/ΑΡΧ/Α/31/24456/1834 π.ε
81;Agios Nikolaos - Ormos Ag. Nikolaou;35,203934;25,717591;Y;;hamlet\church\cistern\water construction;801;1205;Tsougarakis, Dimitris. 1988. Byzantine Crete: from the 5th century to the Venetian conquest. Athens: St. D. Basilopoulos.;;ΑΔ 61 (2006);;
82;Agios Nikolaos - Stavros (Innachori);35,312539;23,670085;Y;;church;961;1205;Spitha-Pimple, Demetra. 1999. To diamerisma ton Chanion kata ten periodo tes Venetokratias (16os - 17os aionas) Ellotia 8, 15-25.;;;;
83;Agios Nikolaos - Xerokampos;35,206977;25,700678;Y;;cistern;601;1205;Visible in situ ;;;;
84;Agios Onouphrios - AKS KP1;35,539344;24,058567;Y;;settlement;201;1205;Raab, Holly Alane. 2001. Rural settlement in Hellenistic and Roman Crete: the Akrotiri peninsula. Oxford, England: Archaeopress. ;;;;
85;Agios Pandeleimon - AKS AP7;35,573147;24,114733;Y;;settlement ;301;1205;Raab, Holly Alane. 2001. Rural settlement in Hellenistic and Roman Crete: the Akrotiri peninsula. Oxford, England: Archaeopress. ;;;;
86;Agios Savvas;34,961344;24,984586;N;;settlement ;301;824;Watrous, Livingston Vance, Despoina Hadzi-Vallianou, and Harriet Blitzer. 2004. The plain of Phaistos: cycles of social complexity in the Mesara region of Crete. Los Angeles, Calif: Cotsen Institute of Archaeology.;;;;coordinates: N part of the gorge
87;Agios Stefanos - Kastelo;35,07286;25,971636;Y;;settlement;301;824;Nowicki, Krzysztof. 2000. Defensible sites in Crete, c. 1200-800 B.C: (LM IIIB/IIIC trough early geometric). Liège: Université de Liège.;;;;
88;Agios Stefanos - Kastelo;35,07286;25,971636;Y;;settlement;961;1205;Nowicki, Krzysztof. 2000. Defensible sites in Crete, c. 1200-800 B.C: (LM IIIB/IIIC trough early geometric). Liège: Université de Liège.;;;;
89;Agios Stephanos;35,072707;25,971692;Y;;settlement\church\fortification;201;300;Nowicki, Krzysztof. 2000. Defensible sites in Crete, c. 1200-800 B.C: (LM IIIB/IIIC trough early geometric). Liège: Université de Liège.;;;;
90;Agios Stephanos;35,072707;25,971692;Y;;settlement\church\fortification;801;900;Nowicki, Krzysztof. 2000. Defensible sites in Crete, c. 1200-800 B.C: (LM IIIB/IIIC trough early geometric). Liège: Université de Liège.;;;;
91;Agios Stephanos;35,072707;25,971692;Y;;settlement\church\fortification;1101;1205;Nowicki, Krzysztof. 2000. Defensible sites in Crete, c. 1200-800 B.C: (LM IIIB/IIIC trough early geometric). Liège: Université de Liège.;;;;
92;Agios Thomas (Ag. Thomas - Pannona);35,147085;25,035915;Y;;settlement\church              ;201;400;Tsougarakis, Dimitris. 1988. Byzantine Crete: from the 5th century to the Venetian conquest. Athens: St. D. Basilopoulos.;;Andrianakes, Michales G. and Giapitsoglou, Kostas D. 2014. Christianika mnemeia tes Kretes. Heraklion. ;;
93;Agios Thomas (Ag. Thomas - Pannona);35,147085;25,035915;Y;;settlement\church              ;961;1205;Tsougarakis, Dimitris. 1988. Byzantine Crete: from the 5th century to the Venetian conquest. Athens: St. D. Basilopoulos.;;Andrianakes, Michales G. and Giapitsoglou, Kostas D. 2014. Christianika mnemeia tes Kretes. Heraklion. ;;
94;Agios Vasileios (Pediada);35,195833;25,191286;Y;;settlement ;1101;1205;Tsougarakis, Dimitris. 1988. Byzantine Crete: from the 5th century to the Venetian conquest. Athens: St. D. Basilopoulos.;;;;
95;Agios Vlasis - Ag. Nikolaos - Ag. Andreas;35,254821;25,132534;Y;;church;961;1205;Gerola, Giuseppe, and K. E. Lassithiotakes. 1961. Topographikos katalogos ton toichographemenon ekklesion tes Κretes. Herakleion: Ekdosis Etairias Kretikon istorikon meleton.;;;;
96;Agriomandra - KAS 39;35,130521;25,832485;Y;;settlement;301;1205;Haggis, Donald C. 2006. Kavousi I: the archaeological survey of the Kavousi region. Philadelphia, Penn: INSTAP Academic Press.;http://dx.doi.org/10.2307/j.ctt3fgv78;;;
